domain,aws_networks_size,aws_network_labels,domain_alexa_rank
playwing.com,19797,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'EC2 (eu-central-1)', 'AMAZON (us-west-2)']",474387.0
iberlibro.com,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",25386.0
abebooks.com,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",4882.0
deamoneta.com,19796,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'EC2 (eu-west-1)', 'AMAZON (us-west-2)']",387145.0
allthingshair.com,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",111265.0
abebooks.fr,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",124876.0
abebooks.co.uk,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",17900.0
abebooks.it,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",405350.0
shopbop.com,19796,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'EC2 (us-east-1)', 'AMAZON (us-west-2)']",3474.0
ldsavow.com,19796,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",243473.0
abebooks.de,19796,"['AMAZON (us-east-1)', 'EC2 (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",61266.0
amazon.in,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",60.0
audible.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",1285.0
amazon.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",12.0
usj.co.jp,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",19136.0
amazonservices.in,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",588233.0
audible.in,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",43627.0
audible.de,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",14868.0
maliactu.net,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",116395.0
audible.co.uk,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",20294.0
bookdepository.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",6174.0
globalbank.com.pa,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",354305.0
amazonauthorinsights.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",466956.0
democrator.ru,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",672356.0
amazon.com.mx,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",1018.0
amazon.it,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",258.0
boxofficemojo.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",1734.0
betterbathrooms.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",274606.0
comixology.eu,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",233187.0
audible.fr,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",29986.0
joshuaarmstrong.co.uk,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",273641.0
algida.com.tr,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",387023.0
audible.co.jp,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",63953.0
buyvip.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",141954.0
a9.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",360875.0
amazon.cn,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",426.0
amazon.nl,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",53189.0
amazon.com.br,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",1547.0
wevoconversion.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",248084.0
amazon.com.sg,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",172420.0
amazonpay.in,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",135762.0
febest24.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",595214.0
peatix.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",9869.0
amazon.co.uk,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",91.0
acx.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",16264.0
amazon.com.au,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",1921.0
amazon.ae,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",2210.0
primevideo.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",162.0
audible.ca,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",29434.0
gty.org,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",66307.0
archerwell.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",534897.0
comixology.co.uk,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",85274.0
lovebeautyandplanet.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",225192.0
amazonservices.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",238782.0
amazon.es,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",224.0
comixology.fr,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",122251.0
amazonaws.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",125.0
audible.com.au,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",25866.0
amazon.fr,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",165.0
createspace.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",62965.0
amazon.de,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",86.0
thinkboxsoftware.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",583576.0
amazon.com.tr,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",6631.0
mturk.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",4485.0
imdb.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",44.0
amazon.ca,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",260.0
appliancesdirect.co.uk,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",164777.0
amzn.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",298323.0
clio.me,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",264836.0
a2z.com,19795,"['AMAZON (us-east-1)', 'AMAZON (eu-west-1)', 'AMAZON (us-west-2)']",88711.0
canada.com,16384,['AMAZON (us-east-1)'],63045.0
keysight.com,5134,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (ca-central-1)', 'EC2 (us-east-1)', 'EC2 (ap-south-1)', 'EC2 (ap-southeast-1)', 'EC2 (ap-southeast-2)', 'EC2 (ap-northeast-1)', 'EC2 (us-west-1)']",40760.0
fingertec.com,5129,"['AMAZON (us-east-1)', 'EC2 (ca-central-1)', 'EC2 (ap-southeast-1)', 'EC2 (us-west-1)', 'EC2 (ap-southeast-2)']",818903.0
bluejeans.com,5121,"['AMAZON (us-east-1)', 'EC2 (ca-central-1)', 'EC2 (us-west-2)', 'EC2 (ap-southeast-2)']",41464.0
insights.com,3516,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-gov-west-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)', 'EC2 (us-west-1)', 'EC2 (eu-west-1)']",691454.0
fishbowlinventory.com,3074,['EC2 (us-east-1)'],145475.0
commercialrealestate.com.au,3072,"['AMAZON (us-east-1)', 'EC2 (ap-southeast-2)']",50928.0
temple.edu,2996,"['EC2 (us-west-2)', 'AMAZON (us-east-1)', 'EC2 (us-east-1)', 'EC2 (us-west-1)', 'EC2 (eu-west-1)']",23879.0
businesswire.com,2971,"['AMAZON (us-east-1)', 'EC2 (us-west-1)', 'EC2 (us-east-1)']",11803.0
dataminr.com,2964,"['AMAZON (us-east-1)', 'EC2 (eu-central-1)', 'EC2 (us-east-1)']",700688.0
