email_provider,count
Proofpoint,340
Cisco Ironport,75
Mimecast,65
Symantec,54
FireEye,14
Trend Micro,4
Forcepoint,4
CSC Digital Brand Services,4
Barracuda,4
Postini,2
Fortinet,1
Area1,1
