email_security_providers,domain
Proofpoint,286
Mimecast,79
Symantec,55
Cisco Ironport,33
hornetsecurity,12
FireEye,5
Forcepoint,4
ZixMail,4
Barracuda,3
Retarus,2
BAE Systems,1
Fortinet,1
Trend Micro,1
