email_provider,count
Symantec,12864
Trend Micro,6494
Barracuda,2253
Sophos,2114
vadesecure,1583
Mailprotector,1234
FireEye,963
DuoCircle,921
SpamTitan,662
AVG,393
hornetsecurity,266
Manage Protect,257
Censornet,231
mailchannels,179
Area1,129
the email laundry,127
Solarwinds,2
