index,mailserver_registered_domain
spatiul.ro,1033
bookmyname.com,1024
cbsolt.net,1018
imena.com.ua,1017
altospam.com,1017
zonemx.eu,1014
ik2.io,1013
mail.nhs.uk,1012
domainorderdns.nl,1008
zxcs.nl,1003
flockmail.com,994
nazwa.pl,990
webhero.com,988
dfn.de,976
secureemailhost.com,976
mxlogicmx.net,970
arandomserver.com,968
mailroute.net,958
inbox.co.il,954
nfrance.com,953
interdns.co.uk,942
webnode.com,940
url.com.tw,938
muumuu-mail.com,937
seznam.cz,935
yulpa.io,921
zcom.it,921
axc.eu,920
icritical.com,920
your-server.de,909
chinaemail.cn,902
lh.pl,898
netcore.co.in,894
email-hosting.net.au,890
wannafind.dk,888
ignum.cz,888
hostedoffice.ag,887
ballou.se,887
netintelligence.com,885
exohosting.sk,879
global-mail.cn,867
nebula.fi,865
bluetie.com,860
1-grid-mx01.co.za,855
1-grid-mx03.co.za,854
xel.nl,853
1-grid-mx02.com,852
1-grid-mx04.com,852
dnsserver.eu,849
genotec.ch,848
gc-system.cz,839
nucleus.be,839
enter-system.com,837
server.eu,834
marsh.com,834
dd24.net,824
omnis.com,819
nospamcloud.com,816
infomart2000.com,814
planet-work.com,813
mxrouting.net,810
r4l.com,803
ilait.se,803
tstechnology.net,802
saint-gobain.com,801
mail-scanner.eu,797
yourfilter.nl,795
expurgate.de,795
nic.ru,794
naver.com,793
aha.ru,792
mrsitemail.com,789
sendgrid.net,786
dcpserver.de,775
upcbusiness.at,775
1and1.mx,774
ptempresas.pt,774
antee.cz,760
adista.fr,755
cn4e.com,747
integra.net,742
blueboard.cz,741
logix.in,736
server-mail.com,736
cleanmail.ch,735
homesteadmail.com,730
hushmail.com,728
premiumantispam.nl,727
majordomo.ru,726
hostinger.co.id,725
serverlet.com,725
mythic-beasts.com,722
spamtador.com,719
icoremail.net,716
solardns.com,710
surfmailfilter.nl,701
bizsiteservice.com,699
host-it.co.uk,695
provider.nl,692
hostinger.es,691
rz-kiru.de,689
euronic.fi,688
masterlogin.de,687
dnchosting.com,683
webnames.ca,676
psmanaged.com,671
